"","x"
"161","







  
  
    My first preference is Dell but this one comes with 256GB of SSD alongside 1 TB of HDD so although it has only 4GB of RAM i ordered it. I am quite satisfied. Details are lacking from seller so let me provide the actual specs:Hardware:- Core i5 (8th Gen)- 4GB RAM- 256 GB SSD +1 TB HDD- Full HD display- DVD reader/writer- Integrated graphics (Intel UHD 620)- 2x USB 3 port on the left and 1 USB2 port on the right.- Card reader: yes- Keyboard is not backlit.Software:- OS: comes preloaded with Windows 10 Home. You need to activate it over the internet. Licence is for lifetime.- MS office: laptop comes with MS Office Home and Student 2019. You need to activate it. License is for lifetime. (You get word, excel, powerpoint in this pack, other features need to be bought separately).- Cyberlink Power Media 14 with lifetime license.- McAffee anti virus with 1 month license.Other details:- Packing was below standard.- Display is poor/not bright enough even at brightest setting. This is an issue with all HP laptops.- Camera: nothing to write home about but doesn't matter.- RAM 4 GB is too little for this day and age. Buy this laptop if you can upgrade the RAM immediately.- Battery is awesome, it lasts 6 hours easily, i thought this kind of battery comes only in high end notebooks.- Sound is loud but terrible quality.- Touchpad is sensitive and keys are flat and large so typing is a treat.- Loads Windows in 6 seconds due to the SSD (also i have no heavy software installed yet).I paid Rs. 44,600 and at that price it is simply the best laptop out there. Now price have decreased to Rs. 43,369. If it is within your budget buy it soon and be luckier than me. It is also available at Rs  41,999 on Tata Cliq but i trust Amazon.Hope this review is helpful.
  
Read more"
"162","







  
  
    Hi there,Writing this review after 2+ months of use.Before buy I saw some negative review so little hesitated before buy. But as soon as turn it on and surprised with the speed. Let's go for little details.It has a powerful CPU, same CPU used in laptop above 70K laptop.Full HD screen with antiglare.Nice finishing and look.*256GB SSD*Most important is SPEED.I saw some people given a negative review about speed, I don't know what are they using. I am a developer and using Android studio, Visual studio and sometimes using VIrtual machine (VMware).I used common sense before buying this laptop. If you see the laptop buying guide, then you will find this is well suitable.The little issue here is. It has 4GB RAM only but thanks to SSD to take care of it. But If you are using much software at the same time so consider for upgrading at least 4GB RAM.I never played Game on this laptop so I can't give a comment but for gaming, you must consider for dedicated powerful Graphics card so in the laptop, above 70K.Somebody has given a review that it has less brightness, not true. It has too much brightness and I am using max brightness at 40% only.Battery backup: I am happy with battery backup.I received battery backup up to 8 hrs while used Powerpoint and Word.Up to 4.5 Hrs, two 1080p movies on 40% brightness.I will totally recommend this laptop.
  
Read more"
"163","







  
  
    This is the first day of my leptop and i transfer files from my pen drive to leptop almost 39 GB  when files transfer in background and i play some videos the system hang up.. everything stop ...i power off leptop after 1 hr and again start then it start running smoother.... i dont know why this happen...can it happen in future also?Expect this one time issue this lap top runs very good
  
Read more"
"164","







  
  
    HP 15-da1058tu (7MW54PA) Laptop (Core i5 8th Gen/4 GB/1 TB + 256 GB SSD/Windows 10) laptop has a 15.6 Inches (39.62 cm) display for your daily needs. This laptop is powered by Intel Core i5-8265U (8th Gen) processor, coupled with 4 GB of RAM and has 1 TB HDD storage at this price point.It runs on Windows 10 Home Basic operating system. As far as the graphics card is concerned this notebook has a Intel UHD 620 graphics card to manage the graphical functions. To keep it alive, it has a 3 Cell Li-Ion battery and weighs 1.77 Kg.The Screen Display Quality Is Bit Off And Other Than The 4 GB Ram Rest Everything Is Excellent.The Sound Quality Is Quite Good & The Processing Speed Is Top Notch Thanks To It's 256 GB SSD. Battery Backup Is Also Good. An Excellent Products For Day To Day Work.
  
Read more"
"165","







  
  
    First time have received one defective product (one USB port was not working) , after great assistance and service from amazon ,got the replacement.New product is totally in good working state and no defect in hardware section.Thanks to amazon for your great commitment.Product Review:-Laptop performance is totally satisfactory.Someone thinks that 4 gb ram is not enough but i will suggest if you are purchasing for daily use and littlebit of programming then this laptop value for money.Under 40k this is worthy laptop.No lagging,no heating till now after 1 week of using.
  
Read more"
"166","







  
  
    Although the specifications are rich, performance is poor. Hanging issues are as usual. Performance wise disappointed.
  
Read more"
"167","







  
  
    It's good product and delivery at expected time, highly recommend who are willing to buy SSD at lowest price
  
Read more"
"168","







  
  
    Good one at this price ,But as usual HP has  history of poor service facility.Two pendrive slots are not working within 4 months of purchase.2nd time in a row and same problem is still following here.First one I returned as it was well within 15 days period but now it is more than 4 months has passed.
  
Read more"
"169","







  
  
    My first preference is Dell but this one comes with 256GB of SSD alongside 1 TB of HDD so although it has only 4GB of RAM i ordered it. I am quite satisfied. Details are lacking from seller so let me provide the actual specs:Hardware:- Core i5 (8th Gen)- 4GB RAM- 256 GB SSD +1 TB HDD- Full HD display- DVD reader/writer- Integrated graphics (Intel UHD 620)- 2x USB 3 port on the left and 1 USB2 port on the right.- Card reader: yes- Keyboard is not backlit.Software:- OS: comes preloaded with Windows 10 Home. You need to activate it over the internet. Licence is for lifetime.- MS office: laptop comes with MS Office Home and Student 2019. You need to activate it. License is for lifetime. (You get word, excel, powerpoint in this pack, other features need to be bought separately).- Cyberlink Power Media 14 with lifetime license.- McAffee anti virus with 1 month license.Other details:- Packing was below standard.- Display is poor/not bright enough even at brightest setting. This is an issue with all HP laptops.- Camera: nothing to write home about but doesn't matter.- RAM 4 GB is too little for this day and age. Buy this laptop if you can upgrade the RAM immediately.- Battery is awesome, it lasts 6 hours easily, i thought this kind of battery comes only in high end notebooks.- Sound is loud but terrible quality.- Touchpad is sensitive and keys are flat and large so typing is a treat.- Loads Windows in 6 seconds due to the SSD (also i have no heavy software installed yet).I paid Rs. 44,600 and at that price it is simply the best laptop out there. Now price have decreased to Rs. 43,369. If it is within your budget buy it soon and be luckier than me. It is also available at Rs  41,999 on Tata Cliq but i trust Amazon.Hope this review is helpful.
  
Read more"
"170","







  
  
    Hi there,Writing this review after 2+ months of use.Before buy I saw some negative review so little hesitated before buy. But as soon as turn it on and surprised with the speed. Let's go for little details.It has a powerful CPU, same CPU used in laptop above 70K laptop.Full HD screen with antiglare.Nice finishing and look.*256GB SSD*Most important is SPEED.I saw some people given a negative review about speed, I don't know what are they using. I am a developer and using Android studio, Visual studio and sometimes using VIrtual machine (VMware).I used common sense before buying this laptop. If you see the laptop buying guide, then you will find this is well suitable.The little issue here is. It has 4GB RAM only but thanks to SSD to take care of it. But If you are using much software at the same time so consider for upgrading at least 4GB RAM.I never played Game on this laptop so I can't give a comment but for gaming, you must consider for dedicated powerful Graphics card so in the laptop, above 70K.Somebody has given a review that it has less brightness, not true. It has too much brightness and I am using max brightness at 40% only.Battery backup: I am happy with battery backup.I received battery backup up to 8 hrs while used Powerpoint and Word.Up to 4.5 Hrs, two 1080p movies on 40% brightness.I will totally recommend this laptop.
  
Read more"
"171","







  
  
    This is the first day of my leptop and i transfer files from my pen drive to leptop almost 39 GB  when files transfer in background and i play some videos the system hang up.. everything stop ...i power off leptop after 1 hr and again start then it start running smoother.... i dont know why this happen...can it happen in future also?Expect this one time issue this lap top runs very good
  
Read more"
"172","







  
  
    HP 15-da1058tu (7MW54PA) Laptop (Core i5 8th Gen/4 GB/1 TB + 256 GB SSD/Windows 10) laptop has a 15.6 Inches (39.62 cm) display for your daily needs. This laptop is powered by Intel Core i5-8265U (8th Gen) processor, coupled with 4 GB of RAM and has 1 TB HDD storage at this price point.It runs on Windows 10 Home Basic operating system. As far as the graphics card is concerned this notebook has a Intel UHD 620 graphics card to manage the graphical functions. To keep it alive, it has a 3 Cell Li-Ion battery and weighs 1.77 Kg.The Screen Display Quality Is Bit Off And Other Than The 4 GB Ram Rest Everything Is Excellent.The Sound Quality Is Quite Good & The Processing Speed Is Top Notch Thanks To It's 256 GB SSD. Battery Backup Is Also Good. An Excellent Products For Day To Day Work.
  
Read more"
"173","







  
  
    First time have received one defective product (one USB port was not working) , after great assistance and service from amazon ,got the replacement.New product is totally in good working state and no defect in hardware section.Thanks to amazon for your great commitment.Product Review:-Laptop performance is totally satisfactory.Someone thinks that 4 gb ram is not enough but i will suggest if you are purchasing for daily use and littlebit of programming then this laptop value for money.Under 40k this is worthy laptop.No lagging,no heating till now after 1 week of using.
  
Read more"
"174","







  
  
    Although the specifications are rich, performance is poor. Hanging issues are as usual. Performance wise disappointed.
  
Read more"
"175","







  
  
    It's good product and delivery at expected time, highly recommend who are willing to buy SSD at lowest price
  
Read more"
"176","







  
  
    Good one at this price ,But as usual HP has  history of poor service facility.Two pendrive slots are not working within 4 months of purchase.2nd time in a row and same problem is still following here.First one I returned as it was well within 15 days period but now it is more than 4 months has passed.
  
Read more"
"177","







  
  
    My first preference is Dell but this one comes with 256GB of SSD alongside 1 TB of HDD so although it has only 4GB of RAM i ordered it. I am quite satisfied. Details are lacking from seller so let me provide the actual specs:Hardware:- Core i5 (8th Gen)- 4GB RAM- 256 GB SSD +1 TB HDD- Full HD display- DVD reader/writer- Integrated graphics (Intel UHD 620)- 2x USB 3 port on the left and 1 USB2 port on the right.- Card reader: yes- Keyboard is not backlit.Software:- OS: comes preloaded with Windows 10 Home. You need to activate it over the internet. Licence is for lifetime.- MS office: laptop comes with MS Office Home and Student 2019. You need to activate it. License is for lifetime. (You get word, excel, powerpoint in this pack, other features need to be bought separately).- Cyberlink Power Media 14 with lifetime license.- McAffee anti virus with 1 month license.Other details:- Packing was below standard.- Display is poor/not bright enough even at brightest setting. This is an issue with all HP laptops.- Camera: nothing to write home about but doesn't matter.- RAM 4 GB is too little for this day and age. Buy this laptop if you can upgrade the RAM immediately.- Battery is awesome, it lasts 6 hours easily, i thought this kind of battery comes only in high end notebooks.- Sound is loud but terrible quality.- Touchpad is sensitive and keys are flat and large so typing is a treat.- Loads Windows in 6 seconds due to the SSD (also i have no heavy software installed yet).I paid Rs. 44,600 and at that price it is simply the best laptop out there. Now price have decreased to Rs. 43,369. If it is within your budget buy it soon and be luckier than me. It is also available at Rs  41,999 on Tata Cliq but i trust Amazon.Hope this review is helpful.
  
Read more"
"178","







  
  
    Hi there,Writing this review after 2+ months of use.Before buy I saw some negative review so little hesitated before buy. But as soon as turn it on and surprised with the speed. Let's go for little details.It has a powerful CPU, same CPU used in laptop above 70K laptop.Full HD screen with antiglare.Nice finishing and look.*256GB SSD*Most important is SPEED.I saw some people given a negative review about speed, I don't know what are they using. I am a developer and using Android studio, Visual studio and sometimes using VIrtual machine (VMware).I used common sense before buying this laptop. If you see the laptop buying guide, then you will find this is well suitable.The little issue here is. It has 4GB RAM only but thanks to SSD to take care of it. But If you are using much software at the same time so consider for upgrading at least 4GB RAM.I never played Game on this laptop so I can't give a comment but for gaming, you must consider for dedicated powerful Graphics card so in the laptop, above 70K.Somebody has given a review that it has less brightness, not true. It has too much brightness and I am using max brightness at 40% only.Battery backup: I am happy with battery backup.I received battery backup up to 8 hrs while used Powerpoint and Word.Up to 4.5 Hrs, two 1080p movies on 40% brightness.I will totally recommend this laptop.
  
Read more"
"179","







  
  
    This is the first day of my leptop and i transfer files from my pen drive to leptop almost 39 GB  when files transfer in background and i play some videos the system hang up.. everything stop ...i power off leptop after 1 hr and again start then it start running smoother.... i dont know why this happen...can it happen in future also?Expect this one time issue this lap top runs very good
  
Read more"
"180","







  
  
    HP 15-da1058tu (7MW54PA) Laptop (Core i5 8th Gen/4 GB/1 TB + 256 GB SSD/Windows 10) laptop has a 15.6 Inches (39.62 cm) display for your daily needs. This laptop is powered by Intel Core i5-8265U (8th Gen) processor, coupled with 4 GB of RAM and has 1 TB HDD storage at this price point.It runs on Windows 10 Home Basic operating system. As far as the graphics card is concerned this notebook has a Intel UHD 620 graphics card to manage the graphical functions. To keep it alive, it has a 3 Cell Li-Ion battery and weighs 1.77 Kg.The Screen Display Quality Is Bit Off And Other Than The 4 GB Ram Rest Everything Is Excellent.The Sound Quality Is Quite Good & The Processing Speed Is Top Notch Thanks To It's 256 GB SSD. Battery Backup Is Also Good. An Excellent Products For Day To Day Work.
  
Read more"
"181","







  
  
    First time have received one defective product (one USB port was not working) , after great assistance and service from amazon ,got the replacement.New product is totally in good working state and no defect in hardware section.Thanks to amazon for your great commitment.Product Review:-Laptop performance is totally satisfactory.Someone thinks that 4 gb ram is not enough but i will suggest if you are purchasing for daily use and littlebit of programming then this laptop value for money.Under 40k this is worthy laptop.No lagging,no heating till now after 1 week of using.
  
Read more"
"182","







  
  
    Although the specifications are rich, performance is poor. Hanging issues are as usual. Performance wise disappointed.
  
Read more"
"183","







  
  
    It's good product and delivery at expected time, highly recommend who are willing to buy SSD at lowest price
  
Read more"
"184","







  
  
    Good one at this price ,But as usual HP has  history of poor service facility.Two pendrive slots are not working within 4 months of purchase.2nd time in a row and same problem is still following here.First one I returned as it was well within 15 days period but now it is more than 4 months has passed.
  
Read more"
"185","







  
  
    My first preference is Dell but this one comes with 256GB of SSD alongside 1 TB of HDD so although it has only 4GB of RAM i ordered it. I am quite satisfied. Details are lacking from seller so let me provide the actual specs:Hardware:- Core i5 (8th Gen)- 4GB RAM- 256 GB SSD +1 TB HDD- Full HD display- DVD reader/writer- Integrated graphics (Intel UHD 620)- 2x USB 3 port on the left and 1 USB2 port on the right.- Card reader: yes- Keyboard is not backlit.Software:- OS: comes preloaded with Windows 10 Home. You need to activate it over the internet. Licence is for lifetime.- MS office: laptop comes with MS Office Home and Student 2019. You need to activate it. License is for lifetime. (You get word, excel, powerpoint in this pack, other features need to be bought separately).- Cyberlink Power Media 14 with lifetime license.- McAffee anti virus with 1 month license.Other details:- Packing was below standard.- Display is poor/not bright enough even at brightest setting. This is an issue with all HP laptops.- Camera: nothing to write home about but doesn't matter.- RAM 4 GB is too little for this day and age. Buy this laptop if you can upgrade the RAM immediately.- Battery is awesome, it lasts 6 hours easily, i thought this kind of battery comes only in high end notebooks.- Sound is loud but terrible quality.- Touchpad is sensitive and keys are flat and large so typing is a treat.- Loads Windows in 6 seconds due to the SSD (also i have no heavy software installed yet).I paid Rs. 44,600 and at that price it is simply the best laptop out there. Now price have decreased to Rs. 43,369. If it is within your budget buy it soon and be luckier than me. It is also available at Rs  41,999 on Tata Cliq but i trust Amazon.Hope this review is helpful.
  
Read more"
"186","







  
  
    Hi there,Writing this review after 2+ months of use.Before buy I saw some negative review so little hesitated before buy. But as soon as turn it on and surprised with the speed. Let's go for little details.It has a powerful CPU, same CPU used in laptop above 70K laptop.Full HD screen with antiglare.Nice finishing and look.*256GB SSD*Most important is SPEED.I saw some people given a negative review about speed, I don't know what are they using. I am a developer and using Android studio, Visual studio and sometimes using VIrtual machine (VMware).I used common sense before buying this laptop. If you see the laptop buying guide, then you will find this is well suitable.The little issue here is. It has 4GB RAM only but thanks to SSD to take care of it. But If you are using much software at the same time so consider for upgrading at least 4GB RAM.I never played Game on this laptop so I can't give a comment but for gaming, you must consider for dedicated powerful Graphics card so in the laptop, above 70K.Somebody has given a review that it has less brightness, not true. It has too much brightness and I am using max brightness at 40% only.Battery backup: I am happy with battery backup.I received battery backup up to 8 hrs while used Powerpoint and Word.Up to 4.5 Hrs, two 1080p movies on 40% brightness.I will totally recommend this laptop.
  
Read more"
"187","







  
  
    This is the first day of my leptop and i transfer files from my pen drive to leptop almost 39 GB  when files transfer in background and i play some videos the system hang up.. everything stop ...i power off leptop after 1 hr and again start then it start running smoother.... i dont know why this happen...can it happen in future also?Expect this one time issue this lap top runs very good
  
Read more"
"188","







  
  
    HP 15-da1058tu (7MW54PA) Laptop (Core i5 8th Gen/4 GB/1 TB + 256 GB SSD/Windows 10) laptop has a 15.6 Inches (39.62 cm) display for your daily needs. This laptop is powered by Intel Core i5-8265U (8th Gen) processor, coupled with 4 GB of RAM and has 1 TB HDD storage at this price point.It runs on Windows 10 Home Basic operating system. As far as the graphics card is concerned this notebook has a Intel UHD 620 graphics card to manage the graphical functions. To keep it alive, it has a 3 Cell Li-Ion battery and weighs 1.77 Kg.The Screen Display Quality Is Bit Off And Other Than The 4 GB Ram Rest Everything Is Excellent.The Sound Quality Is Quite Good & The Processing Speed Is Top Notch Thanks To It's 256 GB SSD. Battery Backup Is Also Good. An Excellent Products For Day To Day Work.
  
Read more"
"189","







  
  
    First time have received one defective product (one USB port was not working) , after great assistance and service from amazon ,got the replacement.New product is totally in good working state and no defect in hardware section.Thanks to amazon for your great commitment.Product Review:-Laptop performance is totally satisfactory.Someone thinks that 4 gb ram is not enough but i will suggest if you are purchasing for daily use and littlebit of programming then this laptop value for money.Under 40k this is worthy laptop.No lagging,no heating till now after 1 week of using.
  
Read more"
"190","







  
  
    Although the specifications are rich, performance is poor. Hanging issues are as usual. Performance wise disappointed.
  
Read more"
"191","







  
  
    It's good product and delivery at expected time, highly recommend who are willing to buy SSD at lowest price
  
Read more"
"192","







  
  
    Good one at this price ,But as usual HP has  history of poor service facility.Two pendrive slots are not working within 4 months of purchase.2nd time in a row and same problem is still following here.First one I returned as it was well within 15 days period but now it is more than 4 months has passed.
  
Read more"
"193","







  
  
    My first preference is Dell but this one comes with 256GB of SSD alongside 1 TB of HDD so although it has only 4GB of RAM i ordered it. I am quite satisfied. Details are lacking from seller so let me provide the actual specs:Hardware:- Core i5 (8th Gen)- 4GB RAM- 256 GB SSD +1 TB HDD- Full HD display- DVD reader/writer- Integrated graphics (Intel UHD 620)- 2x USB 3 port on the left and 1 USB2 port on the right.- Card reader: yes- Keyboard is not backlit.Software:- OS: comes preloaded with Windows 10 Home. You need to activate it over the internet. Licence is for lifetime.- MS office: laptop comes with MS Office Home and Student 2019. You need to activate it. License is for lifetime. (You get word, excel, powerpoint in this pack, other features need to be bought separately).- Cyberlink Power Media 14 with lifetime license.- McAffee anti virus with 1 month license.Other details:- Packing was below standard.- Display is poor/not bright enough even at brightest setting. This is an issue with all HP laptops.- Camera: nothing to write home about but doesn't matter.- RAM 4 GB is too little for this day and age. Buy this laptop if you can upgrade the RAM immediately.- Battery is awesome, it lasts 6 hours easily, i thought this kind of battery comes only in high end notebooks.- Sound is loud but terrible quality.- Touchpad is sensitive and keys are flat and large so typing is a treat.- Loads Windows in 6 seconds due to the SSD (also i have no heavy software installed yet).I paid Rs. 44,600 and at that price it is simply the best laptop out there. Now price have decreased to Rs. 43,369. If it is within your budget buy it soon and be luckier than me. It is also available at Rs  41,999 on Tata Cliq but i trust Amazon.Hope this review is helpful.
  
Read more"
"194","







  
  
    Hi there,Writing this review after 2+ months of use.Before buy I saw some negative review so little hesitated before buy. But as soon as turn it on and surprised with the speed. Let's go for little details.It has a powerful CPU, same CPU used in laptop above 70K laptop.Full HD screen with antiglare.Nice finishing and look.*256GB SSD*Most important is SPEED.I saw some people given a negative review about speed, I don't know what are they using. I am a developer and using Android studio, Visual studio and sometimes using VIrtual machine (VMware).I used common sense before buying this laptop. If you see the laptop buying guide, then you will find this is well suitable.The little issue here is. It has 4GB RAM only but thanks to SSD to take care of it. But If you are using much software at the same time so consider for upgrading at least 4GB RAM.I never played Game on this laptop so I can't give a comment but for gaming, you must consider for dedicated powerful Graphics card so in the laptop, above 70K.Somebody has given a review that it has less brightness, not true. It has too much brightness and I am using max brightness at 40% only.Battery backup: I am happy with battery backup.I received battery backup up to 8 hrs while used Powerpoint and Word.Up to 4.5 Hrs, two 1080p movies on 40% brightness.I will totally recommend this laptop.
  
Read more"
"195","







  
  
    This is the first day of my leptop and i transfer files from my pen drive to leptop almost 39 GB  when files transfer in background and i play some videos the system hang up.. everything stop ...i power off leptop after 1 hr and again start then it start running smoother.... i dont know why this happen...can it happen in future also?Expect this one time issue this lap top runs very good
  
Read more"
"196","







  
  
    HP 15-da1058tu (7MW54PA) Laptop (Core i5 8th Gen/4 GB/1 TB + 256 GB SSD/Windows 10) laptop has a 15.6 Inches (39.62 cm) display for your daily needs. This laptop is powered by Intel Core i5-8265U (8th Gen) processor, coupled with 4 GB of RAM and has 1 TB HDD storage at this price point.It runs on Windows 10 Home Basic operating system. As far as the graphics card is concerned this notebook has a Intel UHD 620 graphics card to manage the graphical functions. To keep it alive, it has a 3 Cell Li-Ion battery and weighs 1.77 Kg.The Screen Display Quality Is Bit Off And Other Than The 4 GB Ram Rest Everything Is Excellent.The Sound Quality Is Quite Good & The Processing Speed Is Top Notch Thanks To It's 256 GB SSD. Battery Backup Is Also Good. An Excellent Products For Day To Day Work.
  
Read more"
"197","







  
  
    First time have received one defective product (one USB port was not working) , after great assistance and service from amazon ,got the replacement.New product is totally in good working state and no defect in hardware section.Thanks to amazon for your great commitment.Product Review:-Laptop performance is totally satisfactory.Someone thinks that 4 gb ram is not enough but i will suggest if you are purchasing for daily use and littlebit of programming then this laptop value for money.Under 40k this is worthy laptop.No lagging,no heating till now after 1 week of using.
  
Read more"
"198","







  
  
    Although the specifications are rich, performance is poor. Hanging issues are as usual. Performance wise disappointed.
  
Read more"
"199","







  
  
    It's good product and delivery at expected time, highly recommend who are willing to buy SSD at lowest price
  
Read more"
"200","







  
  
    Good one at this price ,But as usual HP has  history of poor service facility.Two pendrive slots are not working within 4 months of purchase.2nd time in a row and same problem is still following here.First one I returned as it was well within 15 days period but now it is more than 4 months has passed.
  
Read more"
"201","







  
  
    My first preference is Dell but this one comes with 256GB of SSD alongside 1 TB of HDD so although it has only 4GB of RAM i ordered it. I am quite satisfied. Details are lacking from seller so let me provide the actual specs:Hardware:- Core i5 (8th Gen)- 4GB RAM- 256 GB SSD +1 TB HDD- Full HD display- DVD reader/writer- Integrated graphics (Intel UHD 620)- 2x USB 3 port on the left and 1 USB2 port on the right.- Card reader: yes- Keyboard is not backlit.Software:- OS: comes preloaded with Windows 10 Home. You need to activate it over the internet. Licence is for lifetime.- MS office: laptop comes with MS Office Home and Student 2019. You need to activate it. License is for lifetime. (You get word, excel, powerpoint in this pack, other features need to be bought separately).- Cyberlink Power Media 14 with lifetime license.- McAffee anti virus with 1 month license.Other details:- Packing was below standard.- Display is poor/not bright enough even at brightest setting. This is an issue with all HP laptops.- Camera: nothing to write home about but doesn't matter.- RAM 4 GB is too little for this day and age. Buy this laptop if you can upgrade the RAM immediately.- Battery is awesome, it lasts 6 hours easily, i thought this kind of battery comes only in high end notebooks.- Sound is loud but terrible quality.- Touchpad is sensitive and keys are flat and large so typing is a treat.- Loads Windows in 6 seconds due to the SSD (also i have no heavy software installed yet).I paid Rs. 44,600 and at that price it is simply the best laptop out there. Now price have decreased to Rs. 43,369. If it is within your budget buy it soon and be luckier than me. It is also available at Rs  41,999 on Tata Cliq but i trust Amazon.Hope this review is helpful.
  
Read more"
"202","







  
  
    Hi there,Writing this review after 2+ months of use.Before buy I saw some negative review so little hesitated before buy. But as soon as turn it on and surprised with the speed. Let's go for little details.It has a powerful CPU, same CPU used in laptop above 70K laptop.Full HD screen with antiglare.Nice finishing and look.*256GB SSD*Most important is SPEED.I saw some people given a negative review about speed, I don't know what are they using. I am a developer and using Android studio, Visual studio and sometimes using VIrtual machine (VMware).I used common sense before buying this laptop. If you see the laptop buying guide, then you will find this is well suitable.The little issue here is. It has 4GB RAM only but thanks to SSD to take care of it. But If you are using much software at the same time so consider for upgrading at least 4GB RAM.I never played Game on this laptop so I can't give a comment but for gaming, you must consider for dedicated powerful Graphics card so in the laptop, above 70K.Somebody has given a review that it has less brightness, not true. It has too much brightness and I am using max brightness at 40% only.Battery backup: I am happy with battery backup.I received battery backup up to 8 hrs while used Powerpoint and Word.Up to 4.5 Hrs, two 1080p movies on 40% brightness.I will totally recommend this laptop.
  
Read more"
"203","







  
  
    This is the first day of my leptop and i transfer files from my pen drive to leptop almost 39 GB  when files transfer in background and i play some videos the system hang up.. everything stop ...i power off leptop after 1 hr and again start then it start running smoother.... i dont know why this happen...can it happen in future also?Expect this one time issue this lap top runs very good
  
Read more"
"204","







  
  
    HP 15-da1058tu (7MW54PA) Laptop (Core i5 8th Gen/4 GB/1 TB + 256 GB SSD/Windows 10) laptop has a 15.6 Inches (39.62 cm) display for your daily needs. This laptop is powered by Intel Core i5-8265U (8th Gen) processor, coupled with 4 GB of RAM and has 1 TB HDD storage at this price point.It runs on Windows 10 Home Basic operating system. As far as the graphics card is concerned this notebook has a Intel UHD 620 graphics card to manage the graphical functions. To keep it alive, it has a 3 Cell Li-Ion battery and weighs 1.77 Kg.The Screen Display Quality Is Bit Off And Other Than The 4 GB Ram Rest Everything Is Excellent.The Sound Quality Is Quite Good & The Processing Speed Is Top Notch Thanks To It's 256 GB SSD. Battery Backup Is Also Good. An Excellent Products For Day To Day Work.
  
Read more"
"205","







  
  
    First time have received one defective product (one USB port was not working) , after great assistance and service from amazon ,got the replacement.New product is totally in good working state and no defect in hardware section.Thanks to amazon for your great commitment.Product Review:-Laptop performance is totally satisfactory.Someone thinks that 4 gb ram is not enough but i will suggest if you are purchasing for daily use and littlebit of programming then this laptop value for money.Under 40k this is worthy laptop.No lagging,no heating till now after 1 week of using.
  
Read more"
"206","







  
  
    Although the specifications are rich, performance is poor. Hanging issues are as usual. Performance wise disappointed.
  
Read more"
"207","







  
  
    It's good product and delivery at expected time, highly recommend who are willing to buy SSD at lowest price
  
Read more"
"208","







  
  
    Good one at this price ,But as usual HP has  history of poor service facility.Two pendrive slots are not working within 4 months of purchase.2nd time in a row and same problem is still following here.First one I returned as it was well within 15 days period but now it is more than 4 months has passed.
  
Read more"
"209","







  
  
    My first preference is Dell but this one comes with 256GB of SSD alongside 1 TB of HDD so although it has only 4GB of RAM i ordered it. I am quite satisfied. Details are lacking from seller so let me provide the actual specs:Hardware:- Core i5 (8th Gen)- 4GB RAM- 256 GB SSD +1 TB HDD- Full HD display- DVD reader/writer- Integrated graphics (Intel UHD 620)- 2x USB 3 port on the left and 1 USB2 port on the right.- Card reader: yes- Keyboard is not backlit.Software:- OS: comes preloaded with Windows 10 Home. You need to activate it over the internet. Licence is for lifetime.- MS office: laptop comes with MS Office Home and Student 2019. You need to activate it. License is for lifetime. (You get word, excel, powerpoint in this pack, other features need to be bought separately).- Cyberlink Power Media 14 with lifetime license.- McAffee anti virus with 1 month license.Other details:- Packing was below standard.- Display is poor/not bright enough even at brightest setting. This is an issue with all HP laptops.- Camera: nothing to write home about but doesn't matter.- RAM 4 GB is too little for this day and age. Buy this laptop if you can upgrade the RAM immediately.- Battery is awesome, it lasts 6 hours easily, i thought this kind of battery comes only in high end notebooks.- Sound is loud but terrible quality.- Touchpad is sensitive and keys are flat and large so typing is a treat.- Loads Windows in 6 seconds due to the SSD (also i have no heavy software installed yet).I paid Rs. 44,600 and at that price it is simply the best laptop out there. Now price have decreased to Rs. 43,369. If it is within your budget buy it soon and be luckier than me. It is also available at Rs  41,999 on Tata Cliq but i trust Amazon.Hope this review is helpful.
  
Read more"
"210","







  
  
    Hi there,Writing this review after 2+ months of use.Before buy I saw some negative review so little hesitated before buy. But as soon as turn it on and surprised with the speed. Let's go for little details.It has a powerful CPU, same CPU used in laptop above 70K laptop.Full HD screen with antiglare.Nice finishing and look.*256GB SSD*Most important is SPEED.I saw some people given a negative review about speed, I don't know what are they using. I am a developer and using Android studio, Visual studio and sometimes using VIrtual machine (VMware).I used common sense before buying this laptop. If you see the laptop buying guide, then you will find this is well suitable.The little issue here is. It has 4GB RAM only but thanks to SSD to take care of it. But If you are using much software at the same time so consider for upgrading at least 4GB RAM.I never played Game on this laptop so I can't give a comment but for gaming, you must consider for dedicated powerful Graphics card so in the laptop, above 70K.Somebody has given a review that it has less brightness, not true. It has too much brightness and I am using max brightness at 40% only.Battery backup: I am happy with battery backup.I received battery backup up to 8 hrs while used Powerpoint and Word.Up to 4.5 Hrs, two 1080p movies on 40% brightness.I will totally recommend this laptop.
  
Read more"
"211","







  
  
    This is the first day of my leptop and i transfer files from my pen drive to leptop almost 39 GB  when files transfer in background and i play some videos the system hang up.. everything stop ...i power off leptop after 1 hr and again start then it start running smoother.... i dont know why this happen...can it happen in future also?Expect this one time issue this lap top runs very good
  
Read more"
